en,ml
across,എതിരെ
across,അങ്ങേപ്പുറം
act,അധികാരം പ്രയോഗിക്കുക
act,പ്രവര്‍ത്തിക്കുക
act,പെരുമാറുക
act,അഭിനയിക്കുക
action,ചലനം
action,പ്രവൃത്തി
action,യുദ്ധം
action,ആംഗ്യം
action,വ്യവഹാരം
action,കോടതി നടപടി
active,ഉത്സാഹമുളള
active,സകര്‍മ്മകമായ
active,ചുണയുള്ള
active,സജീവമായ
actor,പ്രവര്‍ത്തകന്‍
actor,നടന്‍
actor,കളിക്കാരന്‍
actual,യഥാര്‍ത്ഥമായ
actual,ഇപ്പോഴുള്ള
actual,പാരമാര്‍ത്ഥികമായ
actual,വാസ്തവമായ
acute,കൂര്‍ത്ത
acute,സൂക്ഷ്മബുദ്ധിയുള്ള
acute,തീവ്രമായ
acute,തീക്ഷ്ണമായ
adapt,യോജിച്ചതാക്കുക
adapt,ഉപയോഗപ്പെടുത്തുക
adapt,ശരിപ്പെടുത്തുക
adapt,അനുരൂപമാക്കുക
add,ചേര്‍ക്കുക
add,സംഖ്യകള്‍ കൂട്ടുക
add,കൂടുതല്‍ പറയുക
addition,കൂട്ടല്‍
addition,സമ്മേളനം
addition,സംയോഗം
addition,സങ്കലനം
addendum,കൂടുതലായി ചേര്‍ക്കപ്പെട്ടത്
addendum,അനുബന്ധം
addendum,അനുപൂരകം
addict,ദുശ്ശീലമാക്കുക
addict,ശീലിക്കുക
addict,ആസക്തമാക്കുക
addict,സ്വയം വിധേയനാവുകഅത്യാസക്തനായ ആള്‍
addict,ദുശ്ശീലത്തിന് അിമെ
addle,ചിന്താക്കുഴപ്പമുണ്ടാക്കുക
addle,കേടാകുക
addle,നിഷ്ഫലമായ
addle,ചീഞ്ഞതാകുക
address,സംബോധന ചെയ്യുക
address,പറയുക
address,മേല്‍വിലാസമെഴുതുക
address,ഉപചരിക്കുക
address,മേല്‍വിലാസം
address,അഭിസംബോധനം
adept,പ്രാവീണ്യമുളള
adept,കൗശലമുളള
adept,വിദഗ്ധമായ
adequate,മതിയായ
adequate,യോഗ്യമായ
adequate,യോജിച്ച്
adequate,കഷ്ടിച്ച്
adhere,ഒട്ടുക
adhere,വ്യതിചലിക്കാതിരിക്കുക
adhere,കര്‍ക്കശമായി പാലിക്കുക
adhere,പറ്റിപ്പിടിക്കുക
adhesive,ഒട്ടുന്ന വസ്തു
adhesive,പശ
adieu,ക്ഷേമം
adieu,പിരിഞ്ഞുപോകുമ്പോള്‍ പറയുന്ന വാക്ക്
adieu,വന്ദനം
adjacent,തൊട്ടടുത്ത
adjacent,സമീപത്തുളള
adjacent,ആസന്നമായ
adjacent,അടുത്തുള്ള
adjective,നാമവിശേഷണം
adjective,ഭേദകം
adjective,വിശേഷണം
adjoin,ചേര്‍ക്കുക
adjoin,തൊട്ടിരിക്കുക
adjoin,സന്ധിക്കുക
adjourn,മറ്റൊരു ദിവസത്തേക്കു നീട്ടിവയ്ക്കുക
adjourn,തത്കാലം നിറുത്തുക
adjourn,പ്രവര്‍ത്തനത്തില്‍ നിന്ന് തത്കാലം വിരമിക്കുക
adjunct,അനുബന്ധം
adjunct,പദവിശേഷണം
adjunct,സഹായി
adjust,ചെറിയ മാറ്റം വരുത്തിക്കൊണ്ട് വ്യവസ്ഥപ്പെടുത്തുക
adjust,തുല്യപ്പെടുത്തുക
adjust,ക്രമീകരിക്കുക
adjust,അനുയോജ്യമാക്കുക
adjutant,അംഗരക്ഷകന്‍
adjutant,കാര്യസ്ഥന്‍
adjutant,സഹായസേനാപതി
administer,രാജ്യം ഭരിക്കുക
administer,എത്തിച്ചുകൊടുക്കുക
administer,മരുന്നു സേവിപ്പിക്കുക
administration,ഭരണാധികാരം
administration,കാര്യനിര്‍വ്വാഹകസംഘം
administration,രാജ്യഭരണം
administrator,ഭരണാധികാരി
administrator,കാര്യനിര്‍വ്വാഹകന്‍
a,ഒരു
a,ഒന്ന്
a,ഏതോ ഒരു
aback,പിന്‍ഭാഗത്ത്
aback,അറിയാതെ
aback,അപ്രതീക്ഷിതമായി
abandon,ഉപേക്ഷിക്കുക
abandon,നിയന്ത്രണമില്ലാതെ വഴങ്ങിക്കൊടുക്കുക
abandon,പിന്‍വാങ്ങുക
abate,ശമിപ്പിക്കുക
abate,കുറയ്ക്കുക
abate,ചുരുങ്ങുക
abbess,കന്യകാമഠാധികാരിണി
admiral,കപ്പല്‍പ്പടനായകന്‍
admiral,സൈന്യാധിപനെ വഹിക്കുന്ന നൗക
admiral,യുദ്ധക്കപ്പല്‍
admiral,നാവികസേനാപതി
admiralty,കപ്പല്‍പ്പടനായകസംഘം
admiralty,കപ്പലോട്ടം സംബന്ധിച്ച ന്യായവിചാരണസ്ഥലം
admiralty,നാവികസൈന്യമന്ത്രി കാര്യാലയം
admire,ആദരിക്കുക
admire,ആരാധിക്കുക
admire,പുകഴ്ത്തുക
admire,വിസ്മയത്തോടെ കാണുക
admit,പ്രവേശിക്കാന്‍ സമ്മതിക്കുക
admit,സമ്മതിച്ചുകൊടുക്കുക
admit,അംഗീകരിക്കുക
admit,സ്വീകരിക്കുക
admonish,താക്കീതു നല്‍കുക
admonish,കാണിച്ചു കോപിക്കുക
admonish,ഉപദേശിക്കുക
admonish,ശാസിക്കുക
admonition,ശാന്തോപദേശം
admonition,പ്രബോധനം
admonition,താക്കീത്
ado,കോലാഹലം
ado,കുഴപ്പം
ado,ബഹളം
ado,വൈഷമ്യം
adolescent,യുവാവ്
adolescent,യുവതി
adolescence,കൗമാരം
adolescence,യൗവനം
adolescence,താരുണ്യം യൗവനപ്രായം
adopt,ദത്തെടുക്കുക
adopt,അനുവര്‍ത്തിക്കുക
adopt,സ്വീകരിക്കുക
adore,പൂജിക്കുക
adore,ആരാധിക്കുക
adore,അത്യന്തം സ്നേഹിക്കുക
adorn,അലങ്കരിക്കുക
adorn,മോടിപിടിപ്പിക്കുക
adorn,മനോഹരമാക്കിത്തീര്‍ക്കുക
adrenal,വൃക്കകളോടടുത്ത
adrift,പൊങ്ങിയൊഴുകുന്ന
adrift,ലക്ഷ്യബോധമില്ലാത്ത
adrift,ഗതിതെറ്റിയ
adult,പ്രായപൂര്‍ത്തിയായ
adult,യൗവനം പ്രാപിച്ച
adult,വളര്‍ന്ന
adult,യുവാവ്
adult,യുവതി
adulterate,മായം ചേര്‍ക്കുക
adulterate,മലിനമാക്കുക
adulterate,ദൂഷിപ്പിക്കുക
adulterate,കൃത്രിമമാക്കുക
adultery,വ്യഭിചാരം
adultery,വിശ്വാസലംഘനം
adultery,ജാര വൃത്തി
adulterer,വ്യഭിചരിക്കുന്നവന്‍
adulterer,പരസ്ത്രീഗാമി
adulteress,വ്യഭിചാരിണി
adulteress,അഭിസാരിക
advance,മുന്‍പോട്ടാക്കുക
advance,പരോഗതി നേടുക
advance,പണം മുന്‍കൂര്‍ കൊടുക്കുക
advantage,അനുകൂല സന്ദര്‍ഭം
advantage,മേന്മ
advantage,പ്രയോജനം
advent,വരവ്
advent,പ്രവേശനം
advent,അവതാരം
advent,ആവിര്‍ഭാവം
adventure,അപായം
adventure,ആകസ്മിക സംഭവം
adventure,വീരസാഹസപ്രവൃത്തി
adventurer,സാഹസികന്‍
adventurer,ദുഷ്കര്‍മ്മത്തില്‍ പരിശ്രമിക്കുന്നവന്‍
adverb,ക്രിയാ വിശേഷണപദം
adverb,ക്രിയ
adverb,നാമവിശേഷണം മുതലായവയെ വിശേഷിപ്പിക്കുന്ന പദം
adversary,ശത്രു
adversary,വിരോധി
adversary,പ്രതിയോഗി
adversary,എതിരാളി
adverse,വിരുദ്ധമായ
adverse,വിരോധമുളള
adverse,അനുകൂലമല്ലാത്ത
adverse,കോട്ടം വരുത്തുന്ന
adversity,ദൗര്‍ഭാഗ്യം
adversity,ആപത്തുകാലം
adversity,വിപത്ത്
advertise,അറിയിക്കുക
advertise,പരസ്യമാക്കുക
advertise,പ്രസിദ്ധപ്പെടുത്തുക
advertisement,പരസ്യം
advertisement,അറിയിപ്പ്
advertisement,വിജ്ഞാപനം
advice,ഉപദേശം
advice,അഭിപ്രായം
advice,അറിയിപ്പ്
advice,അനുശാസനം
advise,ഉപദേശിക്കുക
advise,ശുപാര്‍ശ ചെയ്യുക
advise,താക്കീതു ചെയ്യുക
advocate,വക്കീല്‍
advocate,കാര്യസ്ഥന്‍
advocate,അഭിഭാഷകന്‍
aerial,വിദ്യുത്കാന്തതരംഗങ്ങള്‍ സ്വീകരിക്കുകയോ പ്രക്ഷേപിക്കുകയോ ചെയ്യുന്നതിന് തുറന്നിട്ട ഒരു കമ്പി
aerial,ആന്റെന
aerial,ശൃംഗിക.
aerodrome,വിമാനനിലയം
aerodrome,വിമാനത്താവളം
aeroplane,വിമാനം
aeroplane,ആകാശക്കപ്പല്‍
aeroplane,വ്യോമയാനം
afar,അകലെ
afar,ദൂരത്തില്‍
afar,അപ്പുറത്ത്
affable,മധുരവാക്കായ
affable,ഉപചാരശീലമുളള
affable,കൃപയുള്ള
affable,അനുനയമുള്ള
affair,കാര്യം
affair,സംഗതി
affair,സംഭവം
affair,പ്രേമബന്ധം
affect,സ്വാധീനം ചെലുത്തുക
affect,ബാധിക്കുക
affect,കപടമായി ഭാവിക്കുക
affection,മമത
affection,സ്നേഹം
affection,സ്വഭാവം
affection,ദയ
affidavit,സത്യവാങ്മൂലരേഖ
affidavit,ന്യായാധിപതി മുമ്പാകെ സത്യം ചെയ്തു പറഞ്ഞതിനെ എഴുതിവച്ചിട്ടുളള രേഖ
affidavit,പ്രമാണം
affiliate,ദത്തെടുക്കുക
affiliate,ചേര്‍ക്കുക
affiliate,സംയോജിപ്പിക്കുക
affiliate,അംഗമാക്കിച്ചേര്‍ക്കുക
affinity,പരസ്പരാകര്‍ഷണം
affinity,സാമ്യം
affinity,രാസവസ്തുക്കള്‍ തമ്മിലുളള പരസ്പരാകര്‍ഷണം
affirm,നിശ്ചയമായി ചൊല്ലുക
affirm,സത്യം ചെയ്യുക
affirm,ദ്യഢീകരിക്കുക
affirm,ഉറപ്പിച്ചുപറയുക
affirm,പ്രമാണീകരിക്കുക
afflict,പീഡിപ്പിക്കുക
afflict,തുടരെ ഉപദ്രവിക്കുക
afflict,സങ്കടപ്പെടുത്തുക
afflict,ക്ലേശിപ്പിക്കുക
affluence,ഒഴുക്ക്
affluence,സമ്പത്ത്
affluence,ഭാഗ്യം
affluence,സമൃദ്ധി
afford,ഉളവാക്കുക
afford,കൊടുക്കുക
afford,കഴിവുണ്ടായിരിക്കുക
afford,പ്രാപ്തിയുണ്ടായിരിക്കുക
afforest,നാടിനെ കാടാക്കുക
afforest,മരങ്ങള്‍ വെച്ചുപിടിപ്പിക്കുക
afforest,കാടു വെച്ചുപിടിപ്പിക്കുക
affray,തിടുക്കപ്പെടുത്തുക
affray,ഭീഷണിപ്പെടുത്തുക
affray,ഭയപ്പെടുത്തുക.
affront,അധിക്ഷേപിക്കുക
affront,പരസ്യമായി അപമാനിക്കുക
affront,ധിക്കരിക്കുക
affront,നേരിടുക
afield,തീപിടിച്ച
afield,കത്തിക്കാളുന്ന
afield,കോപിഷ്ഠമായി
aflame,കത്തിക്കാളുന്ന
aflame,ജ്വാലയായി
aflame,പ്രകാശമായി
aflame,ആവേശമുള്ള
afloat,വെള്ളത്തിലോ വായുവിലോ പൊങ്ങിക്കിടക്കുന്ന
afloat,ദിക്കില്ലാത്ത
afloat,ഒഴുകി നടക്കുന്ന
afraid,ഭയപ്പെട്ട
afraid,സംശയമുളള
afraid,ഖേദമുളള
afraid,ശങ്കിക്കുന്ന
afresh,പുതുതായി
afresh,നവമായി
afresh,വീണ്ടും
aft,പിന്നാലെ
aft,അമരത്ത്
aft,കപ്പലിന്റെ പിന്‍ ഭാഗത്ത്
aft,അറ്റത്ത്
after,പുറകിലുളള
after,പിന്‍ഭാഗത്തുളള
after,പിന്നത്തെ
after,പിന്നീടുള്ള
after,അതിനുശേഷം
aftermath,അനന്തരഫലങ്ങള്‍
afternoon,ഉചകഴിഞ്ഞുളള സമയം
afternoon,അപരാഹ്നം
afternoon,പകലിന്റെ ഉത്തരാര്‍ദ്ധം
again,വീണ്ടും
again,പിന്നൊരവസരത്തില്‍
again,വേറൊരിക്കല്‍
again,ഇനിയും
against,എതിരായി
against,ദോഷകരമായി
against,പ്രതികൂലമായി
age,കാലഘട്ടം
age,പ്രായം
age,തലമുറ
age,യുഗം
agency,പ്രവൃത്തി
agency,വ്യാപാരം
agency,പ്രവ്യത്തി സ്ഥാനം
agency,പ്രതിനിധിത്വം
agenda,വിഷയവിവരപ്പത്രിക
agenda,ഒരു മീറ്റിങ്ങില്‍ ചെയ്യേണ്ടതായ കാര്യങ്ങള്‍
agenda,കാര്യപരിപാടി
agent,പ്രവര്‍ത്തകന്‍
agent,കാര്യസ്ഥന്‍
agent,പ്രതിനിധി
aggravate,വഷളാക്കുക
aggravate,പ്രകോപിപ്പിക്കുക
aggravate,ശുണ്ഠിപിടിക്കുക
aggravate,ഗൗരവതരമാക്കുക
aggregate,കൂട്ടുക
aggregate,സമാഹരിക്കുക
aggregate,ഒന്നിക്കുക
aggregate,സംഗ്രഹിക്കുക
aggressor,കൈയേറ്റക്കാരന്‍
aggressor,അക്രമി
aggressor,ആദ്യം വഴക്ക് ആരംഭിക്കുന്നവന്‍
aghast,അമ്പരന്ന്
aghast,അത്ഭുതപരവശമായി
aghast,ഭയപ്പെട്ട
aghast,അന്ധാളിച്ച
agile,വേഗത്തിലും അനായാസവും  ചലിക്കാന്‍  കഴിവുളള
agile,ചുണയുളള
agile,ചുറുചുറുക്കുള്ള
agitate,ബഹളം കൂട്ടുക
agitate,പൊതു ജനശ്രദ്ധ ഉണര്‍ത്തുക
agitate,പ്രക്ഷോഭം നടത്തുക
agitate,ക്ഷോഭിപ്പിക്കുക
agitation,ബഹളം
agitation,പ്രക്ഷോഭം
agitation,വിപ്ലവം
agitator,ഇളക്കുന്നവന്‍
agitator,പ്രക്ഷോഭകന്‍
agitator,കൂട്ടിത്തല്ലിക്കുന്നവന്‍
aglow,തിളങ്ങുന്ന
aglow,എരിഞ്ഞുകൊണ്ടിരിക്കുന്ന
aglow,കത്തുന്ന
aglow,ജ്വലിക്കുന്ന
agnostic,ദൈവത്തെയോ ലോകോത്പത്തിയെയോ കുറിച്ച് യാതൊന്നും അറിയാന്‍ പാടില്ലെന്നു വാദിക്കുന്നവന്‍
agnostic,അവിശ്വാസി
agnostic,സംശയാലു
agnostic,ആജ്ഞേയവാദി
ago,പൂര്‍വ്വകാലത്ത്
ago,പണ്ട്
ago,മുമ്പ്
agog,ഉത്കണ്ഠയോടുകൂടിയ
agog,ആശയോടെ
agog,തത്പരമായി
agog,ആവേശത്തോടെ
agony,കഠിനമായ കായികപീഡ
agony,യാതന
agony,മരണവേദന
agony,കഠിനദുഃഖം
agree,ഏകാഭിപ്രായമായിരിക്കുക
agree,സമ്മതിക്കുക
agree,പൊരുത്തം ഉണ്ടായിരിക്കുക
agreement,പൊരുത്തം
agreement,ഐക്യം
agreement,ഉടമ്പടി
agreement,സഖ്യം
agreement,യോജിപ്പ്
agriculture,കാര്‍ഷികവ്യത്തി
agriculture,കൃഷി
agriculture,കൃഷിശാസ്ത്രം
aground,പുതഞ്ഞ
aground,കരയ്ക്കടിഞ്ഞ
ahead,കൂടുതല്‍ മുന്നേറിയ
ahead,കൂടുതല്‍ പുരോഗമിച്ച
ahead,മുന്നോട്ടായ
ahead,മുന്‍പില്‍
aid,സഹായിക്കുക
aid,തുണയ്ക്കുക
aid,സഹകരിക്കുക
aid,രോഗശുശ്രൂഷ ചെയ്യുക
ail,കുഴക്കുക
ail,നോവുക
ail,സുഖക്കേടു തോന്നുക
ail,അസുഖം ബാധിക്കുക
ailment,രോഗം
ailment,പീഡ
ailment,വല്ലായ്മ
ailment,സുഖക്കേട്
aim,ഉന്നം വയ്ക്കുക
aim,ലക്ഷ്യമാക്കുക
aim,ശ്രമിക്കുക
aim,ഓങ്ങുക
aimless,ലാക്കറ്റ
aimless,ഉദ്ദേശ്യരഹിതമായ
aimless,ലക്ഷ്യമില്ലാത്ത
air,വായു
air,അന്തരീക്ഷം
air,അവാസ്തവമായ
air,കാറ്റ്
air,ഭാവം
airy,വായുമയമായ
airy,ഉന്നതമായ
airy,ഉത്സാഹമുളള
aisle,ദേവാലയത്തിലെ പാര്‍ശ്വഭാഗം
aisle,ഇരിപ്പിട നിരകള്‍ക്ക് മധ്യേയുള്ള പാത
ajar,അല്പം തുറന്ന
ajar,ഒരു ചരിവായി
ajar,മൂടി അടയ്ക്കാതെ
akimbo,അരയില്‍ കൊടുങ്കൈ കുത്തിയ
akimbo,എളിയില്‍ കൈവച്ച്
akin,രക്തബന്ധമുള്ള
akin,സമാനമായ
